map_ID,no_np,dir,lon,lat
2603,124,vostok,42.1854,56.6518
236,124,zapad,32.3072,56.3545
1811,125,jug,38.959,53.3075
1463,125,sever,38.1489,60.8283
53,125,severo-zapad,29.607,58.2331
2812,125,vostok,42.7491,56.7175
229,125,zapad,32.648,56.3025
327,126,zapad,32.7837,56.3309
1686,126,jug,38.4675,53.1838
1996,126,sever,38.7324,60.8414
3894,126,severo-zapad,29.9186,58.2671
2811,126,vostok,42.9332,56.707
1812,127,jug,38.7394,53.1957
1995,127,sever,38.9962,60.7724
52,127,severo-zapad,29.4168,58.151
2604,127,vostok,42.3241,56.5494
227,127,zapad,32.2275,56.1653
1808,128,jug,38.9863,53.1225
1464,128,sever,38.1188,60.716
51,128,severo-zapad,29.6221,58.1556
2813,128,vostok,42.5781,56.6194
228,128,zapad,32.4233,56.2291
1683,129,jug,38.0618,53.095
1992,129,sever,38.5451,60.7178
50,129,severo-zapad,29.7931,58.1304
2807,129,vostok,42.8024,56.5468
331,129,zapad,32.7871,56.1714
1687,130,jug,38.4258,53.0613
1465,130,sever,38.0343,60.6747
3899,130,severo-zapad,29.9154,58.1409
2614,130,vostok,42.0515,56.3976
224,130,zapad,32.0462,56.0515
1803,131,jug,38.6824,53.0362
1993,131,sever,38.7695,60.6344
49,131,severo-zapad,29.7137,58.0307
2613,131,vostok,42.2645,56.2597
226,131,zapad,32.6498,56.0572
3958,132,jug,31.7591,52.9712
1475,132,sever,38.3739,60.587
86,132,severo-zapad,30.1339,58.8128
2806,132,vostok,42.9993,56.2574
332,132,zapad,32.8559,56.0496
3957,133,jug,31.5296,52.9071
1474,133,sever,38.187,60.5437
85,133,severo-zapad,30.5126,58.8167
4191,133,vostok,42.0743,56.1726
478,133,zapad,33.2394,56.9311
3961,134,jug,31.8815,52.837
1991,134,sever,38.6278,60.4924
83,134,severo-zapad,30.6703,58.9161
2612,134,vostok,42.3567,56.1389
479,134,zapad,33.5262,56.9764
3962,135,jug,31.6855,52.7799
1473,135,sever,38.0742,60.3917
3714,135,severo-zapad,30.0903,58.7205
2801,135,vostok,42.683,56.1739
480,135,zapad,33.7432,56.9744
3965,136,jug,31.5941,52.6705
1990,136,sever,38.6954,60.4083
88,136,severo-zapad,30.3808,58.7217
2802,136,vostok,42.9507,56.1439
4025,136,zapad,33.1695,56.8047
3964,137,jug,31.8891,52.7072
1476,137,sever,38.2837,60.2964
89,137,severo-zapad,30.5718,58.6459
2617,137,vostok,42.2278,56.0116
485,137,zapad,33.4606,56.8392
3966,138,jug,31.8571,52.562
1989,138,sever,38.6922,60.2989
90,138,severo-zapad,30.7226,58.6621
3698,138,vostok,42.5946,56.0777
484,138,zapad,33.6657,56.8021
3967,139,jug,31.657,52.4788
1481,139,sever,38.3861,60.1534
87,139,severo-zapad,30.2017,58.6135
2818,139,vostok,43.1258,56.8183
483,139,zapad,33.9772,56.8033
3968,140,jug,31.8503,52.4213
1988,140,sever,38.6019,60.1318
93,140,severo-zapad,30.4587,58.6143
2822,140,vostok,43.402,56.7299
486,140,zapad,33.1721,56.6792
3974,141,jug,31.6859,52.3708
1987,141,sever,38.8715,60.1375
92,141,severo-zapad,30.6208,58.5558
3003,141,vostok,43.5963,56.8073
487,141,zapad,33.4517,56.7079
3976,142,jug,31.9319,52.3092
1986,142,sever,38.7661,60.0281
91,142,severo-zapad,30.8526,58.5866
3004,142,vostok,43.8316,56.7481
488,142,zapad,33.7826,56.6869
3975,143,jug,31.7891,52.2052
2021,143,sever,39.487,60.8978
3893,143,severo-zapad,30.2344,58.5069
3006,143,vostok,43.6558,56.6344
493,143,zapad,33.6114,56.5861
3959,144,jug,32.0576,52.9226
2024,144,sever,39.2509,60.7609
94,144,severo-zapad,30.5467,58.4737
2808,144,vostok,43.0819,56.5604
4,144,zapad,33.0411,56.5048
3960,145,jug,32.0362,52.8342
2025,145,sever,39.6016,60.6502
3895,145,severo-zapad,30.1103,58.424
2809,145,vostok,43.2631,56.5725
489,145,zapad,33.3032,56.5182
3963,146,jug,32.1521,52.8084
2026,146,sever,39.2434,60.6038
3896,146,severo-zapad,30.1939,58.3765
3009,146,vostok,43.567,56.5095
492,146,zapad,33.8868,56.5333
156,147,jug,32.3997,52.8995
2028,147,sever,39.9046,60.6177
95,147,severo-zapad,30.7258,58.3685
3008,147,vostok,43.8313,56.5259
328,147,zapad,33.1085,56.3117
3951,148,jug,32.6746,52.9798
1994,148,sever,39.0153,60.5555
3898,148,severo-zapad,30.2463,58.1899
2810,148,vostok,43.3348,56.402
490,148,zapad,33.3434,56.3596
3988,149,jug,32.9064,52.8599
2027,149,sever,39.5968,60.5125
3897,149,severo-zapad,30.4587,58.1631
3010,149,vostok,43.7181,56.3999
491,149,zapad,33.6122,56.3955
168,150,jug,32.6559,52.7495
2035,150,sever,39.8377,60.4549
96,150,severo-zapad,30.7075,58.2607
3011,150,vostok,43.8678,56.4402
498,150,zapad,33.9492,56.3957
3983,151,jug,32.9994,52.7054
2034,151,sever,39.2824,60.3997
97,151,severo-zapad,30.7448,58.1641
2805,151,vostok,43.3552,56.2668
499,151,zapad,33.5638,56.2377
3969,152,jug,32.1497,52.6627
2039,152,sever,39.3771,60.2376
3900,152,severo-zapad,30.2724,58.0424
3013,152,vostok,43.4717,56.1705
502,152,zapad,33.922,56.2307
160,153,jug,32.4179,52.6674
2038,153,sever,39.7747,60.2509
